,index,link,title,img
321,Backward weaves made easy  - Dog Tricks,https://www.youtube.com/watch?v=T7XRF7dF6-c&list=UU-qnqaajTk6bfs3UZuue6IQ&index=322&pp=iAQB,Backward weaves made easy  - Dog Tricks,https://i.ytimg.com/vi/T7XRF7dF6-c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLALqUn8e0aV-9K18HQMcD2_pCPUvw
322,Who needs sprinklers? - Funny dogs,https://www.youtube.com/watch?v=IgUJR9ld97w&list=UU-qnqaajTk6bfs3UZuue6IQ&index=323&pp=iAQB,Who needs sprinklers? - Funny dogs,https://i.ytimg.com/vi/IgUJR9ld97w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD7saYQNbXQeypR6h5hQinj4Oul-A
323,Go Check It Out - for fearful reactive dogs,https://www.youtube.com/watch?v=KkCzgZxZi2I&list=UU-qnqaajTk6bfs3UZuue6IQ&index=324&pp=iAQB,Go Check It Out - for fearful reactive dogs,https://i.ytimg.com/vi/KkCzgZxZi2I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAhxk2v_lQ43x6UuDhek6fVSIjGFA
324,How Emily taught this amazing double dog trick!,https://www.youtube.com/watch?v=CIZbvEC5o7E&list=UU-qnqaajTk6bfs3UZuue6IQ&index=325&pp=iAQB,How Emily taught this amazing double dog trick!,https://i.ytimg.com/vi/CIZbvEC5o7E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDV9_VyDoN5p6vpNk-6mHjWHSmnkQ
325,Train your little dog to jump up into your arms!,https://www.youtube.com/watch?v=uasHnMzJC4k&list=UU-qnqaajTk6bfs3UZuue6IQ&index=326&pp=iAQB,Train your little dog to jump up into your arms!,https://i.ytimg.com/vi/uasHnMzJC4k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDSipXAeyhF0Tv1IuVbYHzMn0iCoA
326,Limp in a Circle - Dog Tricks Training,https://www.youtube.com/watch?v=D9MeoU1o_jY&list=UU-qnqaajTk6bfs3UZuue6IQ&index=327&pp=iAQB,Limp in a Circle - Dog Tricks Training,https://i.ytimg.com/vi/D9MeoU1o_jY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAq4Tdz_YNDIBP1ZOia5AU8vRZh6Q
327,Splash's Dance Trick - Canine Freestyle Dog Tricks Tutorial,https://www.youtube.com/watch?v=GZ-ZKpk6RQk&list=UU-qnqaajTk6bfs3UZuue6IQ&index=328&pp=iAQB,Splash's Dance Trick - Canine Freestyle Dog Tricks Tutorial,https://i.ytimg.com/vi/GZ-ZKpk6RQk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCHnHIlQI8TUUAb0dNqBei-rA1-Jg
328,4 Dogs do Amazing Tricks,https://www.youtube.com/watch?v=pfvnAZV_9yE&list=UU-qnqaajTk6bfs3UZuue6IQ&index=329&pp=iAQB,4 Dogs do Amazing Tricks,https://i.ytimg.com/vi/pfvnAZV_9yE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAUWQfGPgEUfiN_HCaOenboMHy9Sw
329,Mirroring Dog Trick - Dog Trick Tutorial,https://www.youtube.com/watch?v=DRlOf9nYjKs&list=UU-qnqaajTk6bfs3UZuue6IQ&index=330&pp=iAQB,Mirroring Dog Trick - Dog Trick Tutorial,https://i.ytimg.com/vi/DRlOf9nYjKs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCCgHSYe4LLqhWgA_YZD8Bh2aPSJA
330,Teach a delicate retrieve - #eastereggchallenge,https://www.youtube.com/watch?v=oFRdC82Yl90&list=UU-qnqaajTk6bfs3UZuue6IQ&index=331&pp=iAQB,Teach a delicate retrieve - #eastereggchallenge,https://i.ytimg.com/vi/oFRdC82Yl90/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC3OXcxK4QU9XPgc8cAZGcMjkVeRw
331,Jump Though a Hoop! - Dog Trick Tutorial,https://www.youtube.com/watch?v=arW12GQCY7E&list=UU-qnqaajTk6bfs3UZuue6IQ&index=332&pp=iAQB,Jump Though a Hoop! - Dog Trick Tutorial,https://i.ytimg.com/vi/arW12GQCY7E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAGlnFfPylzqiwqT1kHsQRsnxbydQ
332,How to teach your dog his left paw from his right paw,https://www.youtube.com/watch?v=JtSe7xy0fI0&list=UU-qnqaajTk6bfs3UZuue6IQ&index=333&pp=iAQB,How to teach your dog his left paw from his right paw,https://i.ytimg.com/vi/JtSe7xy0fI0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCAmT6jezqmpRevjEB6sbekQjgShA
